@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}

@data
1,'2024/12/09 03:08:13:506',1,15495,1597,-5215,-6266,32766,-938,?,?,?
2,'2024/12/09 03:08:13:527',1,15495,1597,-5215,-6266,32766,-938,?,?,?
3,'2024/12/09 03:08:13:540',1,15763,2287,-4166,-9473,32766,-2487,?,?,?
4,'2024/12/09 03:08:13:561',1,15763,2287,-4166,-9473,32766,-2487,?,?,?
5,'2024/12/09 03:08:13:577',1,15763,2287,-4166,-9473,32766,-2487,?,?,?
6,'2024/12/09 03:08:13:596',1,12217,1049,13325,-10097,32766,-5663,?,?,?
7,'2024/12/09 03:08:13:615',1,12217,1049,13325,-10097,32766,-5663,?,?,?
8,'2024/12/09 03:08:13:634',1,12217,1049,13325,-10097,32766,-5663,?,?,?
9,'2024/12/09 03:08:13:650',1,5763,2868,10746,-1384,32766,-6431,?,?,?
10,'2024/12/09 03:08:13:669',1,5763,2868,10746,-1384,32766,-6431,?,?,?
11,'2024/12/09 03:08:13:689',1,5763,2868,10746,-1384,32766,-6431,?,?,?
12,'2024/12/09 03:08:13:706',1,-614,1912,21823,-1929,32766,-6844,?,?,?
13,'2024/12/09 03:08:13:723',1,-614,1912,21823,-1929,32766,-6844,?,?,?
14,'2024/12/09 03:08:13:741',1,-614,1912,21823,-1929,32766,-6844,?,?,?
15,'2024/12/09 03:08:13:759',1,-6713,2208,16021,1784,32766,-4809,?,?,?
16,'2024/12/09 03:08:13:778',1,-6713,2208,16021,1784,32766,-4809,?,?,?
17,'2024/12/09 03:08:13:799',1,-6713,2208,16021,1784,32766,-4809,?,?,?
18,'2024/12/09 03:08:13:819',1,-8338,1837,14650,-1193,11818,-4994,?,?,?
19,'2024/12/09 03:08:13:835',1,-8338,1837,14650,-1193,11818,-4994,?,?,?
20,'2024/12/09 03:08:13:852',1,-8338,1837,14650,-1193,11818,-4994,?,?,?
21,'2024/12/09 03:08:13:869',1,-10037,2207,16267,1001,13948,-3122,?,?,?
22,'2024/12/09 03:08:13:889',1,-10037,2207,16267,1001,13948,-3122,?,?,?
23,'2024/12/09 03:08:13:908',1,-10037,2207,16267,1001,13948,-3122,?,?,?
24,'2024/12/09 03:08:13:927',1,-9944,2001,12972,-1839,8687,-2843,?,?,?
